valor hora
2.13 22:50:58
1.14 22:50:53
1.48 22:50:51
1.28 22:50:49
1.14 22:50:36
1.22 22:50:24
1.82 22:50:09
1.15 22:49:45
2.24 22:49:33
8.31 22:49:10
2.11 22:48:33
3.45 22:48:12
5.90 22:47:58
2.67 22:47:56
5.90 22:47:43
2.67 22:47:05
1.74 22:46:41
1.32 22:46:20
1.60 22:46:05
1.60 22:45:47
1.19 22:45:22
1.54 22:45:03
9.48 22:44:42
1.03 22:44:00
3.05 22:43:48
1.56 22:43:16
2.48 22:42:56
1.03 22:42:28
9.97 22:42:14
1.13 22:41:32
1.87 22:41:19
3.49 22:41:03
2.74 22:41:02
3.49 22:40:56
2.74 22:40:22
1.76 22:39:58
22.44 22:39:56
1.06 22:39:52
22.44 22:39:35
1.26 22:38:39
1.70 22:38:25
1.93 22:38:08
1.14 22:37:47
2.69 22:37:28
3.88 22:37:01
1.64 22:36:31
2.08 22:36:22
1.12 22:36:19
2.08 22:36:15
1.12 22:35:45
4.75 22:35:31
1.07 22:34:58
3.66 22:34:45
5.08 22:34:18
1.00 22:33:45
1.37 22:33:29
2.28 22:33:10
1.35 22:32:44
1.49 22:32:27
1.25 22:32:04
1.11 22:31:49
3.61 22:31:28
7.30 22:31:01
80.18 22:30:24
1.25 22:29:20
2.30 22:29:04
8.93 22:28:37
1.68 22:28:05
16.12 22:27:40
2.74 22:26:52
1108.45 22:26:24
15.01 22:24:50
1.26 22:24:04
2.02 22:23:50
2.97 22:23:30
1.11 22:23:08
1.06 22:22:46
3.42 22:22:36
1.74 22:22:04
1.00 22:21:45
2.10 22:21:31
4.00 22:21:09
1.32 22:20:44
1.69 22:20:26
1.53 22:20:25
1.74 22:20:23
3.30 22:20:09
1.74 22:20:01
2.71 22:19:56
1.74 22:19:42
2.71 22:19:40
1.88 22:19:39
2.71 22:19:31
1.88 22:19:28
2.71 22:19:09
1.88 22:19:03
1.12 22:19:01
1.88 22:18:45
1.12 22:18:32
6.47 22:18:13
2.00 22:17:39
5.67 22:17:19
1.72 22:16:48
1.28 22:16:27
1.88 22:16:13
2.49 22:15:48
1.31 22:15:24
1.23 22:15:12
1.63 22:15:00
1.23 22:14:31
1.51 22:14:21
2.77 22:13:55
1.57 22:13:26
1.37 22:13:08
1.49 22:12:51
1.14 22:12:37
1.19 22:12:18
1.24 22:11:58
1.20 22:11:43
2.79 22:11:34
1.26 22:11:32
2.79 22:11:22
1.26 22:10:51
3.19 22:10:35
1.00 22:10:32
1.51 22:10:30
1.00 22:10:04
2.63 22:09:53
3.36 22:09:31
7.70 22:09:05
1.04 22:08:29
1.83 22:08:22
1.77 22:08:20
1.83 22:08:15
2.08 22:08:11
1.77 22:07:59
2.08 22:07:37
2.94 22:07:30
1.05 22:07:28
2.94 22:07:16
2.67 22:06:50
1.92 22:06:28
1.26 22:06:25
5.25 22:06:23
1.07 22:06:10
5.25 22:06:04
5.75 22:06:01
5.25 22:05:57
5.75 22:05:44
1.61 22:05:41
1.53 22:05:39
5.75 22:05:22
16.13 22:04:51
1.98 22:04:23
1.26 22:04:20
1.98 22:04:04
1.26 22:03:43
9.31 22:03:27
1.14 22:02:50
1.90 22:02:38
3.74 22:02:19
4.24 22:01:49
1.29 22:01:23
1.12 22:01:07
6.24 22:00:55
2.85 22:00:40
1.47 22:00:38
2.85 22:00:19
1.47 22:00:00
4.43 21:59:42
1.17 21:59:09
1.00 21:58:57
2.93 21:58:52
14.44 21:58:38
6.19 21:58:35
14.44 21:58:23
6.19 21:57:36
3.74 21:57:30
1.57 21:57:26
1.57 21:57:22
6.23 21:57:19
3.74 21:57:07
6.23 21:56:43
1.17 21:56:05
1.26 21:55:50
1.04 21:55:39
1.10 21:55:27
3.93 21:55:14
2.42 21:54:48
17.61 21:54:43
1.05 21:54:38
1.43 21:54:34
17.61 21:54:27
1.43 21:53:45
1.16 21:53:41
1.16 21:53:37
1.17 21:53:29
6.40 21:53:26
1.41 21:53:09
6.40 21:52:56
1.73 21:52:20
1.57 21:52:17
2.47 21:52:13
1.45 21:52:10
1.27 21:52:06
2.47 21:51:46
2.00 21:51:42
11.13 21:51:38
1.63 21:51:26
11.13 21:51:07
81.50 21:50:48
1.20 21:50:34
81.50 21:50:27
1.20 21:49:42
2.14 21:49:38
16.33 21:49:34
1.20 21:49:25
16.33 21:49:04
2.14 21:48:19
5.26 21:48:17
1.12 21:48:13
5.26 21:47:59
1.12 21:47:29
2.26 21:47:14
8.67 21:46:55
2.61 21:46:16
1.39 21:45:58
3.07 21:45:46
22.06 21:45:31
1.02 21:45:29
22.06 21:45:11
9.29 21:44:23
2.67 21:43:45
1.01 21:43:15
62.50 21:43:03
6.92 21:42:08
10.46 21:41:50
1.65 21:41:46
2.30 21:41:41
10.46 21:41:33
2.30 21:41:09
1.44 21:41:04
2.30 21:40:51
1.44 21:40:36
1.08 21:40:20
2.73 21:40:08
1.00 21:39:42
1.60 21:39:33
1.57 21:39:32
1.41 21:39:13
4.49 21:39:07
1.09 21:38:31
3.04 21:38:13
1.49 21:37:49
1.37 21:37:38
4.65 21:37:24
1.57 21:36:51
1.52 21:36:35
1.11 21:36:20
2.37 21:36:11
2.06 21:35:47
1.00 21:35:39
2.18 21:35:37
1.00 21:35:27
2.18 21:35:16
2.13 21:35:02
1.90 21:34:35
1.53 21:34:32
1.15 21:34:27
1.70 21:34:14
1.15 21:34:03
3.06 21:33:46
1.59 21:33:18
1.95 21:33:02
1.52 21:32:44
6.47 21:32:27
1.92 21:31:53
1.25 21:31:48
1.46 21:31:43
1.97 21:31:41
1.46 21:31:16
4.60 21:31:05
2.20 21:30:57
51.10 21:30:42
1.07 21:30:38
51.10 21:30:33
1.07 21:29:32
2.38 21:29:19
1.10 21:28:59
1.79 21:28:55
1.75 21:28:50
1.53 21:28:46
1.20 21:28:41
2.75 21:28:36
1.20 21:28:33
2.75 21:28:30
1.20 21:28:06
2.72 21:27:53
1.02 21:27:32
4.65 21:27:18
5.69 21:26:48
6.74 21:26:19
1.53 21:25:51
1.13 21:25:46
1.53 21:25:43
1.13 21:25:24
4.96 21:25:13
1.48 21:24:45
1.04 21:24:26
1.17 21:24:18
2.97 21:24:02
1.61 21:23:42
2.79 21:23:23
1.26 21:22:59
1.00 21:22:45
11.32 21:22:33
2.20 21:22:20
2.20 21:22:16
1.06 21:22:09
2.60 21:21:59
1.06 21:21:30
4.08 21:21:11
1.38 21:20:39
12.54 21:20:36
1.50 21:20:31
12.54 21:20:24
1.50 21:19:44
2.88 21:19:37
1.37 21:19:33
2.88 21:19:25
1.37 21:18:57
1.16 21:18:47
3.52 21:18:44
1.84 21:18:31
3.52 21:18:27
1.84 21:17:59
13.00 21:17:37
1.31 21:16:54
8.19 21:16:41
2.45 21:15:58
1.29 21:15:31
2.06 21:15:17
69.43 21:15:03
2.37 21:14:59
69.43 21:14:56
2.37 21:14:00
2.29 21:13:57
2.29 21:13:51
1.80 21:13:46
1.38 21:13:26
1.11 21:13:06
1.30 21:12:59
1.21 21:12:37
2.85 21:12:26
29.31 21:11:58
2.95 21:11:33
2.59 21:11:30
1.01 21:11:27
2.95 21:11:16
1.01 21:10:42
1.63 21:10:34
1.55 21:10:14
1.00 21:10:01
2.57 21:09:50
3.34 21:09:45
1.69 21:09:24
3.34 21:09:09
12.59 21:08:51
1.52 21:08:46
12.59 21:08:43
1.52 21:07:59
1.00 21:07:47
1.30 21:07:35
1.44 21:07:19
2.52 21:07:02
10.57 21:06:40
1.36 21:06:23
1.95 21:06:19
1.01 21:06:15
2.27 21:06:11
1.36 21:06:07
2.27 21:05:45
1.34 21:05:33
1.00 21:05:12
1.00 21:04:57
2.27 21:04:46
9.52 21:04:41
5.47 21:04:39
9.52 21:04:26
5.47 21:04:11
1.32 21:04:08
1.05 21:03:56
5.47 21:03:47
1.06 21:03:20
1.30 21:03:08
1.12 21:02:55
5.80 21:02:46
1.56 21:02:16
1.18 21:02:00
1.33 21:01:49
3.04 21:01:30
1.02 21:01:27
2.90 21:01:25
1.02 21:01:06
2.90 21:00:55
1.00 21:00:28
13.65 21:00:20
3.70 20:59:34
2.53 20:59:07
3.79 20:58:46
3.41 20:58:25
1.88 20:57:51
1.38 20:57:30
1.98 20:57:17
1.50 20:56:57
1.37 20:56:40
1.18 20:56:31
1.01 20:56:24
2.15 20:56:20
1.29 20:55:53
1.01 20:55:48
1.01 20:55:45
1.57 20:55:41
10.83 20:55:30
1.00 20:55:26
10.83 20:55:14
1.00 20:54:30
1.56 20:54:28
1.85 20:54:04
4.10 20:53:39
3.89 20:53:11
3.48 20:52:41
8.65 20:52:18
2.27 20:52:02
1.01 20:51:55
1.01 20:51:51
2.27 20:51:46
1.91 20:51:42
1.74 20:51:38
1.11 20:51:18
24.53 20:51:04
85.15 20:50:14
1.38 20:49:06
7.47 20:48:54
4.95 20:48:19
2.82 20:47:48
1.82 20:47:31
1.21 20:47:05
49.17 20:46:45
1.44 20:45:56
1.68 20:45:47
2.65 20:45:44
1.68 20:45:41
2.65 20:45:31
1.15 20:45:28
2.65 20:45:22
1.08 20:44:50
15.08 20:44:35
1.14 20:43:51
1.19 20:43:39
4.38 20:43:24
3.78 20:42:54
104.61 20:42:27
1.00 20:41:18
2.79 20:41:04
1.10 20:40:42
4.70 20:40:27
4.64 20:39:56
4.38 20:39:25
14.68 20:39:00
1.72 20:38:16
3.22 20:37:55
1.29 20:37:49
1.15 20:37:45
1.29 20:37:34
2.73 20:37:17
4.09 20:36:51
1.02 20:36:28
1.10 20:36:14
1.20 20:36:00
4.44 20:35:45
1.71 20:35:17
1.44 20:34:56
1.73 20:34:42
5.73 20:34:26
1.16 20:33:52
1.79 20:33:45
2.58 20:33:43
2.21 20:33:37
2.58 20:33:24
2.21 20:32:59
1.01 20:32:37
2.06 20:32:28
3.96 20:32:07
8.12 20:31:39
1420.84 20:31:08
8.57 20:29:23
1.00 20:28:47
3.41 20:28:39
1.93 20:28:16
1.23 20:28:10
1.04 20:27:54
7.13 20:27:41
3.79 20:27:00
2.89 20:26:50
1.05 20:26:48
1.10 20:26:42
2.89 20:26:26
1.90 20:26:04
1.29 20:26:01
2.90 20:25:39
1.29 20:25:23
6.30 20:25:10
1.97 20:24:59
1.97 20:24:51
1.04 20:24:47
1.50 20:24:44
32.32 20:24:42
2.87 20:24:31
32.32 20:24:12
3.41 20:23:39
2.00 20:23:34
2.31 20:23:27
1.78 20:23:13
1.08 20:23:10
1.08 20:23:06
1.74 20:22:52
2.06 20:22:36
1.32 20:22:14
1.84 20:22:00
1.23 20:21:42
4.53 20:21:25
1.79 20:20:58
1.44 20:20:41
1.04 20:20:23
1.03 20:20:17
2.69 20:20:14
2.30 20:20:11
2.69 20:20:02
2.30 20:19:55
1.00 20:19:49
2.30 20:19:38
1.00 20:19:31
1.40 20:19:28
1.00 20:19:18
1.40 20:19:09
1.85 20:18:54
2.19 20:18:35
1.50 20:18:32
14.57 20:18:15
1.21 20:17:32
1.14 20:17:16
2.52 20:17:13
11.76 20:17:10
2.52 20:17:05
11.76 20:16:43
1.22 20:16:01
2.61 20:15:47
1.10 20:15:25
2.34 20:15:18
2.88 20:15:07
2.77 20:14:57
2.88 20:14:30
1.17 20:14:05
2.13 20:14:02
2.12 0:13:59
2.13 20:13:55
1.57 20:13:51
1.01 20:13:48
1.57 20:13:35
1.01 20:13:17
1.56 20:13:05
3.14 20:12:53
1.40 20:12:28
4.71 20:12:09
1.96 20:11:44
5.18 20:11:26
2.00 20:10:51
1.08 20:10:47
1.34 20:10:44
2.32 20:10:29
1.00 20:10:25
2.59 20:10:13
1.00 20:09:48
8.70 20:09:37
1.32 20:08:59
1.69 20:08:53
1.50 20:08:50
1.69 20:08:44
1.50 20:08:36
1.00 20:08:30
1.70 20:08:22
1.00 20:08:11
1.70 20:08:07
1.24 20:07:44
1.89 20:07:32
1.09 20:07:11
1.42 20:06:58
1.33 20:06:41
2.60 20:06:27
8.51 20:06:05
2.57 20:05:29
7.28 20:05:06
1.04 20:04:36
1.24 20:04:18
1.25 20:04:10
1.23 20:03:53
50.75 20:03:40
2.54 20:02:47
2.04 20:02:19
2.22 20:02:04
3.11 20:01:48
2.05 20:01:34
6.22 20:01:22
1.46 20:01:03
2.07 20:00:59
1.00 20:00:57
1.46 20:00:42
1.00 20:00:23
1.40 20:00:14
4.75 19:59:58
4.44 19:59:50
1.17 19:59:47
4.44 19:59:38
1.09 19:59:35
4.44 19:59:31
1.09 19:58:59
3.05 19:58:47
1.04 19:58:23
2.57 19:58:20
1.21 19:58:08
3.62 19:58:05
1.21 19:57:51
3.62 19:57:36
1.27 19:57:25
127.34 19:57:23
1.27 19:57:10
127.34 19:56:55
14.81 19:56:08
1.89 19:56:05
14.81 19:55:46
2.21 19:55:32
1.17 19:55:28
1.03 19:55:18
2.21 19:55:13
1.59 19:55:09
2.21 19:55:06
1.59 19:54:57
10.65 19:54:54
1.59 19:54:47
1.52 19:54:44
1.48 19:54:40
10.65 19:54:36
1.48 19:54:32
10.65 19:54:24
1.48 19:54:15
2.31 19:54:10
1.84 19:54:05
1.24 19:54:03
1.14 19:54:01
1.48 19:53:56
1.31 19:53:47
5.13 19:53:30
4.31 19:53:17
1.58 19:53:13
4.31 19:53:01
1.84 19:52:53
1.84 19:52:51
1.32 19:52:47
1.58 19:52:35
1.27 19:52:27
4.95 19:52:24
1.27 19:52:20
1.26 19:52:17
4.95 19:52:05
6.14 19:51:32
1.08 19:51:18
1.27 19:51:15
1.08 19:51:01
1.43 19:50:51
1.41 19:50:38
1.28 19:50:32
1.66 19:50:23
1.59 19:50:19
1.37 19:50:15
7.90 19:50:01
47.15 19:49:47
1.25 19:49:43
1.32 19:49:40
1.01 19:49:37
47.15 19:49:24
1.01 19:48:43
1.83 19:48:40
1.01 19:48:26
1.83 19:48:15
866.87 19:48:01
1.55 19:46:41
1.42 19:46:39
5.90 19:46:33
1.55 19:46:28
5.90 19:46:07
8.41 19:45:38
1.06 19:45:21
1.59 19:45:18
1.06 19:45:00
4.08 19:44:50
1.01 19:44:40
1.17 19:44:37
1.50 19:44:34
1.01 19:44:21
2.06 19:44:09
2.10 19:43:58
3.21 19:43:54
2.10 19:43:49
3.21 19:43:38
274.92 19:43:35
3.21 19:43:32
274.92 19:43:30
1.27 19:43:22
1.00 19:43:18
274.92 19:43:04
1.00 19:41:46
1.64 19:41:44
1.85 19:41:41
1.64 19:41:37
1.85 19:41:21
2.84 19:41:01
2.74 19:40:40
2.32 19:40:31
1.34 19:40:29
2.32 19:40:14
1.07 19:39:54
1.70 19:39:45
1.26 19:39:42
1.26 19:39:39
1.96 19:39:25
1.00 19:39:04
2.48 19:38:54
1.43 19:38:44
1.16 19:38:42
1.43 19:38:36
42.19 19:38:17
2.79 19:37:18
2.09 19:37:15
1.38 19:37:12
3.59 19:36:56
1.08 19:36:30
1.62 19:36:23
1.15 19:36:19
1.15 19:36:15
1.64 19:36:04
1.42 19:35:44
1.86 19:35:32
1.26 19:35:28
2.14 19:35:14
2.44 19:35:01
2.82 19:34:58
2.44 19:34:54
2.82 19:34:29
1.25 19:34:26
1.11 19:34:17
1.72 19:34:14
1.11 19:34:05
1.72 19:33:54
1.19 19:33:49
1.68 19:33:46
1.19 19:33:37
1.68 19:33:29
1.17 19:33:25
1.17 19:33:21
1.43 19:33:17
3.30 19:33:09
1.43 19:32:42
2.85 19:32:27
1.75 19:32:21
1.18 19:32:17
1.75 19:32:07
2.19 19:31:44
4.82 19:31:28
1.46 19:31:12
1.11 19:31:08
1.46 19:30:56
1.10 19:30:38
1.84 19:30:36
1.17 19:30:28
1.17 19:30:25
1.17 19:30:21
2.58 19:30:09
1.19 19:30:06
1.28 19:30:03
1.28 19:30:00
1.19 19:29:47
1.26 19:29:39
1.18 19:29:35
1.03 19:29:28
4.78 19:29:18
1.03 19:29:06
1.35 19:29:04
1.09 19:29:01
1.03 19:28:48
3.44 19:28:46
1.37 19:28:18
1.24 19:28:14
1.04 19:28:11
6.57 19:28:01
1.76 19:27:40
1.24 19:27:25
1.24 19:27:21
1.96 19:27:19
19.62 19:27:16
1.50 19:27:05
1.26 19:27:02
19.62 19:26:48
1.42 19:26:19
1.10 19:26:15
1.10 19:26:13
1.42 19:26:05
1.38 19:26:02
1.31 19:25:59
