valor hora
2.21 19:55:32
1.17 19:55:28
1.03 19:55:18
2.21 19:55:13
1.59 19:55:09
2.21 19:55:06
1.59 19:54:57
10.65 19:54:54
1.59 19:54:47
1.52 19:54:44
1.48 19:54:40
10.65 19:54:36
1.48 19:54:32
10.65 19:54:24
1.48 19:54:15
2.31 19:54:10
1.84 19:54:05
1.24 19:54:03
1.14 19:54:01
1.48 19:53:56
1.31 19:53:47
5.13 19:53:30
4.31 19:53:17
1.58 19:53:13
4.31 19:53:01
1.84 19:52:53
1.84 19:52:51
1.32 19:52:47
1.58 19:52:35
1.27 19:52:27
4.95 19:52:24
1.27 19:52:20
1.26 19:52:17
4.95 19:52:05
6.14 19:51:32
1.08 19:51:18
1.27 19:51:15
1.08 19:51:01
1.43 19:50:51
1.41 19:50:38
1.28 19:50:32
1.66 19:50:23
1.59 19:50:19
1.37 19:50:15
7.90 19:50:01
47.15 19:49:47
1.25 19:49:43
1.32 19:49:40
1.01 19:49:37
47.15 19:49:24
1.01 19:48:43
1.83 19:48:40
1.01 19:48:26
1.83 19:48:15
866.87 19:48:01
1.55 19:46:41
1.42 19:46:39
5.90 19:46:33
1.55 19:46:28
5.90 19:46:07
8.41 19:45:38
1.06 19:45:21
1.59 19:45:18
1.06 19:45:00
4.08 19:44:50
1.01 19:44:40
1.17 19:44:37
1.50 19:44:34
1.01 19:44:21
2.06 19:44:09
2.10 19:43:58
3.21 19:43:54
2.10 19:43:49
3.21 19:43:38
274.92 19:43:35
3.21 19:43:32
274.92 19:43:30
1.27 19:43:22
1.00 19:43:18
274.92 19:43:04
1.00 19:41:46
1.64 19:41:44
1.85 19:41:41
1.64 19:41:37
1.85 19:41:21
2.84 19:41:01
2.74 19:40:40
2.32 19:40:31
1.34 19:40:29
2.32 19:40:14
1.07 19:39:54
1.70 19:39:45
1.26 19:39:42
1.26 19:39:39
1.96 19:39:25
1.00 19:39:04
2.48 19:38:54
1.43 19:38:44
1.16 19:38:42
1.43 19:38:36
42.19 19:38:17
2.79 19:37:18
2.09 19:37:15
1.38 19:37:12
3.59 19:36:56
1.08 19:36:30
1.62 19:36:23
1.15 19:36:19
1.15 19:36:15
1.64 19:36:04
1.42 19:35:44
1.86 19:35:32
1.26 19:35:28
2.14 19:35:14
2.44 19:35:01
2.82 19:34:58
2.44 19:34:54
2.82 19:34:29
1.25 19:34:26
1.11 19:34:17
1.72 19:34:14
1.11 19:34:05
1.72 19:33:54
1.19 19:33:49
1.68 19:33:46
1.19 19:33:37
1.68 19:33:29
1.17 19:33:25
1.17 19:33:21
1.43 19:33:17
3.30 19:33:09
1.43 19:32:42
2.85 19:32:27
1.75 19:32:21
1.18 19:32:17
1.75 19:32:07
2.19 19:31:44
4.82 19:31:28
1.46 19:31:12
1.11 19:31:08
1.46 19:30:56
1.10 19:30:38
1.84 19:30:36
1.17 19:30:28
1.17 19:30:25
1.17 19:30:21
2.58 19:30:09
1.19 19:30:06
1.28 19:30:03
1.28 19:30:00
1.19 19:29:47
1.26 19:29:39
1.18 19:29:35
1.03 19:29:28
4.78 19:29:18
1.03 19:29:06
1.35 19:29:04
1.09 19:29:01
1.03 19:28:48
3.44 19:28:46
1.37 19:28:18
1.24 19:28:14
1.04 19:28:11
6.57 19:28:01
1.76 19:27:40
1.24 19:27:25
1.24 19:27:21
1.96 19:27:19
19.62 19:27:16
1.50 19:27:05
1.26 19:27:02
19.62 19:26:48
1.42 19:26:19
1.10 19:26:15
1.10 19:26:13
1.42 19:26:05
1.38 19:26:02
1.31 19:25:59
